timestamp_p,height,x_speed,y_speed,z_speed,pitch,roll,yaw,temperature,distance,barometer,flight_time,battery,mp_distance_x,mp_distance_y,mp_distance_z,class,class_raw
28123.02875,80,0,0,0,0,0,0,68,84,19309,7,65,-15,-5,86,benign,benign
28123.55962,80,0,0,0,0,0,0,68,84,19305,7,65,-13,-6,86,benign,benign
28124.0769,80,0,0,0,0,0,0,68,83,19303,8,65,-18,-6,85,benign,benign
28124.602,80,0,0,0,-1,0,0,67,83,19307,8,65,-21,-9,84,benign,benign
28125.1291,80,0,0,0,-1,0,0,67,85,19309,9,65,-24,-10,84,benign,benign
28125.6552,80,0,0,0,-1,0,0,68,85,19306,9,65,-25,-10,85,benign,benign
28126.17095,80,0,0,0,-1,0,0,68,85,19305,10,65,-26,-15,84,benign,benign
28126.68745,80,1,0,0,-3,-1,0,68,84,19302,10,65,-25,-11,85,benign,benign
28127.21861,80,1,0,0,-1,0,0,68,82,19307,11,65,-21,-6,83,benign,benign
28127.76447,80,1,0,0,0,0,0,68,80,19309,11,65,-13,-4,82,benign,benign
28128.28109,70,1,0,0,-1,0,0,68,79,19299,12,65,-12,-3,82,benign,benign
28128.8293,70,0,0,0,-1,0,0,68,80,19306,12,65,-10,-4,81,benign,benign
28129.35926,70,1,0,0,-1,-2,0,68,80,19305,13,65,-7,-4,82,benign,benign
28129.89923,70,0,0,0,-1,0,0,68,80,19306,13,65,-7,-4,82,benign,benign
28130.42769,70,0,0,0,-1,0,0,68,80,19306,14,65,-7,-5,82,benign,benign
28130.94434,80,0,0,0,-1,-1,0,68,81,19306,14,65,-10,-9,83,benign,benign
28131.47493,80,0,0,0,-1,0,0,68,81,19310,15,65,-19,-13,82,benign,benign
28132.00354,80,0,0,0,-1,0,0,68,82,19311,15,65,-24,-18,81,benign,benign
28132.51575,80,3,0,0,-8,0,0,68,83,19310,16,65,-22,-17,83,benign,benign
28133.03198,80,2,0,0,0,0,0,68,82,19311,16,65,-10,-16,85,benign,benign
28133.56432,80,2,0,0,-1,0,0,69,83,19316,17,65,1,-19,87,benign,benign
28134.07471,80,2,0,0,-1,0,0,69,83,19305,18,65,12,-22,89,benign,benign
28134.58785,80,2,0,0,-1,0,0,68,84,19309,18,65,20,-27,88,benign,benign
28135.11485,80,2,0,0,-1,0,0,68,84,19311,19,65,23,-23,92,benign,benign
28135.63131,80,2,0,0,-1,0,0,68,84,19311,19,65,30,-15,95,benign,benign
28136.17475,80,1,0,0,-1,1,0,68,83,19319,20,65,41,-11,92,benign,benign
28136.70185,80,0,0,0,0,-3,0,68,82,19313,20,65,47,14,82,benign,benign
28137.20849,80,0,0,0,-4,0,0,68,83,19310,21,65,48,11,81,benign,benign
28137.73902,80,0,0,0,2,0,0,67,82,19316,21,65,47,12,83,benign,benign
28138.26662,80,0,0,0,-1,0,0,67,81,19319,22,65,48,15,80,benign,benign
28138.78774,70,-2,-1,0,4,-4,0,68,80,19312,22,65,53,21,80,benign,benign
28139.32481,70,-3,-3,0,-1,0,0,68,81,19315,23,65,19,-20,87,benign,benign
28139.8504,70,-2,-2,0,-2,0,0,68,80,19317,23,65,2,-10,84,benign,benign
28140.3745,70,0,-1,0,-1,0,0,68,80,19316,24,65,-8,-7,82,benign,benign
28140.9023,70,0,0,0,-3,0,0,69,80,19321,24,65,-11,-5,81,benign,benign
28141.42891,70,0,0,0,0,0,0,69,79,19313,25,65,-9,-2,81,benign,benign
28141.9565,70,0,0,0,0,0,0,68,80,19314,25,65,-7,-4,82,benign,benign
28142.49793,80,0,0,0,0,0,0,68,81,19318,26,65,-8,-4,83,benign,benign
28143.02851,80,4,0,0,0,0,0,67,80,19307,27,65,5,-12,84,benign,benign
28143.5382,70,2,0,0,-1,-1,0,67,81,19319,27,65,22,-21,82,benign,benign
28144.07224,80,2,0,0,-1,-1,0,67,81,19321,28,65,34,-22,85,benign,benign
28144.59947,80,2,0,0,-1,-1,0,67,80,19317,28,65,47,-17,85,benign,benign
28145.12485,70,2,-1,0,-1,-1,0,68,80,19313,29,65,39,11,80,benign,benign
28145.65643,80,1,-1,0,2,-1,0,68,80,19318,29,65,34,8,78,benign,benign
28146.18728,80,0,0,0,0,0,0,68,80,19325,30,65,29,4,79,benign,benign
28146.71786,80,2,0,0,-1,0,0,67,81,19322,30,65,29,7,79,benign,benign
28147.23613,80,1,0,0,0,0,0,67,81,19327,31,65,17,9,81,benign,benign
28147.76472,80,1,0,0,0,0,0,67,81,19327,31,65,4,7,83,benign,benign
28148.31227,80,0,0,0,0,-1,0,67,80,19317,32,65,0,8,82,benign,benign
28148.829,70,0,0,0,0,0,0,68,79,19320,32,65,0,7,81,benign,benign
28149.35905,70,0,0,0,0,0,0,68,79,19321,33,65,1,6,81,benign,benign
28149.88918,70,0,0,0,0,-1,0,68,79,19327,33,65,3,8,81,benign,benign
28150.41521,70,0,0,0,-1,-1,0,68,79,19319,34,65,6,14,80,benign,benign
28150.94367,70,4,0,0,0,0,0,67,78,19320,34,65,6,17,79,benign,benign
28151.46926,70,2,0,0,-1,-1,0,67,79,19321,35,65,-16,25,77,benign,benign
28151.9882,70,2,0,0,-1,0,0,68,79,19325,35,65,-23,27,79,benign,benign
28152.54621,70,2,0,0,-2,0,0,68,78,19318,36,65,-34,27,79,benign,benign
28153.10921,70,2,0,0,-2,-1,0,68,78,19322,37,65,-45,40,69,benign,benign
28153.62533,70,2,-1,0,-1,-1,0,68,78,19321,37,65,-25,-22,82,benign,benign
28154.16405,70,0,0,0,1,0,0,68,79,19326,38,65,-21,-26,78,benign,benign
28154.69463,80,0,0,0,-4,-5,0,68,80,19323,38,65,-17,-29,79,benign,benign
28155.2083,80,1,-2,0,-1,0,0,68,80,19327,39,65,-16,-24,79,benign,benign
28155.72349,70,1,-1,0,-1,0,0,68,79,19325,39,65,-10,-14,80,benign,benign
28156.24011,70,1,-1,0,-1,0,0,68,78,19326,40,65,-4,-6,80,benign,benign
28156.77022,70,0,0,0,0,1,0,68,77,19324,40,65,-3,-3,79,benign,benign
28157.29831,70,0,0,0,0,0,19,68,78,19325,41,65,-3,-4,79,benign,benign
28157.82724,70,0,0,0,0,-1,55,68,77,19324,41,65,-2,-8,78,benign,benign
