timestamp_c,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class,class_raw
22568.17554,54,104,0,0,2,1,2,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,dos,DoS attack
22572.52353,70,98,0,320,0,1,0,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.347987,dos,DoS attack
22572.54732,72,98,0,320,0,1,0,1,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.023789,dos,DoS attack
22572.54859,73,98,0,320,0,1,0,1,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.001278,dos,DoS attack
22600.27325,572,30,0,314,1,0,1,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27.72466,dos,DoS attack
22600.27388,574,30,0,320,0,1,0,1,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.000623,dos,DoS attack
22600.73669,578,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.462812,dos,DoS attack
22600.82399,580,86,2,44,1,0,1,0,0,0,15,2048,20,52,35865,64,128,6,2,5,55423,53,401057732,0,32,2,64240,1,0,0,0,0,0,2,8,0.087301,dos,DoS attack
22600.83922,582,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.015232,dos,DoS attack
22600.9417,586,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.102473,dos,DoS attack
22601.038,588,86,2,44,1,0,1,0,0,0,17,2048,20,52,35866,64,128,6,2,5,50654,53,2289555872,0,32,2,64240,1,0,0,0,0,0,2,8,0.096302,dos,DoS attack
22601.04401,590,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.006017,dos,DoS attack
22601.14629,592,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.102275,dos,DoS attack
22604.25562,683,86,2,44,1,0,1,0,0,0,69,2048,20,52,35877,64,128,6,2,5,63093,53,631722795,0,32,2,64240,1,0,0,0,0,0,2,8,3.109326,dos,DoS attack
