mid,x,y,z,mpitch,mroll,myaw,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,flight_time,agx,agy,agz,est_x,est_y,cntl_x,cntl_y,residual1,residual2,residual3,residual4,class,class_raw
12,134,-2,80,0,176,-179,0,0,61,0,0,0,62,64,72,50,82,243.33,6,-3,18,-1027,115.5172414,-1.724137931,-18.34482759,-7.917241379,134,-2,134,-2,fdi,FDI
12,-3,-12,102,0,176,-179,0,0,61,0,-1,0,64,66,102,80,82,243.72,12,0,12,-953,9.840284153,-10.87591743,12.55506526,-4.78922588,-176.2758621,-9.413793103,-121.0842912,-10.23754789,fdi,FDI
12,-6,-9,104,-4,176,-178,-1,-1,61,0,0,0,64,66,105,80,82,243.77,14,0,5,-1017,-6.297393397,-9.307204232,12.99455859,-6.259777025,-31.11679357,7.225581944,0.751658432,3.583962361,fdi,FDI
12,-6,-9,104,-4,176,-178,0,0,61,0,0,0,64,66,107,80,82,243.94,14,20,18,-1018,-7.529600523,-9.062175168,14.22161451,-6.870733377,-1.094990866,5.612189899,16.4135381,1.114305783,fdi,FDI
12,25,-10,108,0,175,179,0,0,61,0,0,0,64,67,97,80,81,243.73,16,-22,17,-1050,21.35069007,-9.928999608,7.799410806,-7.243905825,34.49539451,4.28728386,43.49965261,-0.436379239,fdi,FDI
12,19,-6,103,0,175,-177,2,0,61,0,0,0,65,67,99,80,80,243.75,20,17,5,-979,19.3960619,-6.337150919,10.65020052,-8.895094692,-12.30017913,9.551638688,-5.500589314,4.605114245,fdi,FDI
12,19,-9,102,0,175,-178,0,1,61,0,-1,0,65,68,97,80,79,243.79,22,-1,27,-956,19.07234873,-8.682810291,11.56122694,-8.768603106,-11.33218109,1.435076793,-1.778912497,-3.471265185,fdi,FDI
12,20,-7,100,0,175,-176,0,0,61,0,-1,0,65,68,101,80,78,243.83,25,16,-2,-954,19.91848048,-7.132575669,12.23595393,-9.95946746,-10.06622549,6.562796946,0.070639666,2.061090996,fdi,FDI
12,21,-7,101,0,175,-179,1,-1,61,0,0,0,66,67,100,80,78,243.79,27,2,7,-1048,20.91106838,-6.953960378,12.90278149,-10.61799074,-10.33070208,4.444667869,0.132149014,-0.145152629,fdi,FDI
12,18,-7,102,-1,175,179,1,-1,61,0,0,0,65,68,100,80,77,243.82,28,7,-12,-1001,18.23889194,-6.947935595,14.57328824,-11.3021281,-14.8634751,4.083391472,-3.975427438,-0.244255481,fdi,FDI
12,18,-7,102,-1,175,179,0,0,61,0,0,0,67,67,101,80,77,243.97,29,74,-5,-927,17.9213294,-6.957547201,15.48143017,-11.99069755,-11.11397667,4.031917886,-0.05099923,-0.139489381,fdi,FDI
12,18,-8,102,0,175,-178,0,0,61,0,0,0,67,67,103,80,77,243.91,29,16,12,-997,17.90325407,-7.884426275,16.43297326,-12.42292557,-10.47391016,3.028929534,0.20864365,-1.055090577,fdi,FDI
12,26,-11,101,0,175,-179,0,0,61,0,0,0,66,69,97,80,77,243.87,31,23,10,-974,25.27027338,-10.74777363,15.33220646,-12.33099948,-2.37964379,1.362621949,8.084762762,-2.74856157,fdi,FDI
12,25,-9,104,0,175,-179,1,0,61,0,0,0,66,69,98,80,76,243.89,33,-1,44,-1064,25.16369674,-9.212698399,16.47229068,-13.4815547,-14.01971966,7.580030849,-3.050338712,3.059594887,fdi,FDI
12,26,-11,101,0,175,-179,0,1,61,0,0,0,66,69,101,80,76,243.79,35,-4,15,-923,25.98731138,-10.84388787,16.98143885,-13.57168694,-13.4683874,3.615789326,-1.000402296,-1.465603631,fdi,FDI
12,29,-8,99,4,175,-179,0,-1,61,0,0,0,68,70,99,80,75,243.9,37,7,24,-1028,28.78604368,-8.258050281,16.9593552,-14.9519643,-11.82044721,8.925349762,1.425297572,3.688953239,fdi,FDI
12,23,-8,101,0,174,-179,0,0,61,0,0,0,68,70,100,80,75,243.91,38,22,22,-934,23.53432798,-7.952101849,19.2061909,-15.56059647,-22.01352915,5.316976653,-7.938648375,-0.092128374,fdi,FDI
12,23,-8,101,0,174,-179,0,-1,61,0,0,0,68,70,101,80,75,243.9,39,12,19,-1028,22.90173879,-7.935703559,19.91470024,-16.21132751,-14.70581232,4.7008663,-0.133764291,-0.330708003,fdi,FDI
12,27,-12,103,0,174,178,2,0,61,0,0,0,67,70,102,80,74,243.93,41,8,25,-1034,26.53787758,-11.62535633,19.67789976,-15.83933372,-9.452672276,0.610543514,4.444762689,-4.202699418,fdi,FDI
12,29,-12,103,4,174,-179,0,-1,61,0,0,0,68,69,97,80,74,243.86,42,5,29,-984,28.79734108,-12.03680533,19.93092059,-16.45984995,-12.58956966,5.927276666,1.2316432,0.921654631,fdi,FDI
12,23,-10,101,0,175,-179,0,-1,61,0,0,0,69,70,96,80,74,243.87,43,15,16,-953,23.4977332,-10.20342229,22.16386374,-17.53266549,-22.12247658,8.818749706,-7.53232449,3.059521758,fdi,FDI
12,25,-15,95,0,174,178,0,0,61,0,0,0,68,70,96,80,74,243.89,44,-6,34,-989,24.71284169,-14.57166381,22.35372098,-16.81178604,-12.70539305,1.279854538,2.181404873,-4.755574224,fdi,FDI
12,35,-10,99,2,174,179,1,-1,61,-1,0,0,68,70,101,80,73,243.98,46,5,38,-1039,34.07660536,-10.4559787,20.55123732,-18.64544003,-4.103107857,12.49572178,10.13771625,6.240095791,fdi,FDI
12,31,-18,101,-1,173,177,0,1,61,0,0,0,68,71,105,80,73,243.99,48,-12,8,-975,31.42821338,-17.31138627,22.2386771,-17.1064623,-21.67296837,-1.116895087,-6.704635862,-7.915042951,fdi,FDI
12,29,-11,104,-1,174,-179,0,0,61,0,0,0,68,71,104,80,73,243.95,48,5,8,-989,29.19099193,-11.64321269,23.2898331,-19.41697969,-20.61560742,15.56280808,-3.920816928,8.627019971,fdi,FDI
12,37,-15,105,0,174,-178,1,-1,61,0,0,0,68,70,96,80,72,243.91,51,14,14,-1005,36.26842998,-14.63000897,21.82055962,-18.84797167,-9.373823967,3.876571625,7.511401947,-3.872326074,fdi,FDI
12,33,-18,94,0,174,-179,0,0,61,0,0,0,69,71,97,80,72,243.93,52,0,14,-972,33.36914961,-17.73977824,23.39817713,-18.58767582,-23.46705433,4.87193552,-6.186343164,-2.541165983,fdi,FDI
