timestamp_c,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class,class_raw
27403.20289,3618,86,2,44,1,0,1,0,0,0,63,2048,20,52,41039,64,128,6,2,5,49933,53,4187369042,0,32,2,64240,1,0,0,0,0,0,2,8,0.283356,replay,Replay
27403.21122,3620,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.008331,replay,Replay
27403.22054,3622,231,3,44,0,1,0,1,0,0,582,2048,20,197,750,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177,94,169,2,8,0.009319,replay,Replay
27403.24878,3624,86,2,44,1,0,1,0,0,0,64,2048,20,52,41040,64,128,6,2,5,61583,53,1643689,0,32,2,64240,1,0,0,0,0,0,2,8,0.028238,replay,Replay
27403.31238,3626,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.063598,replay,Replay
27403.31292,3627,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.000538,replay,Replay
27403.3428,3629,86,2,44,1,0,1,0,0,0,65,2048,20,52,41042,64,128,6,2,5,51299,53,3834280705,0,32,2,64240,1,0,0,0,0,0,2,8,0.029887,replay,Replay
27403.34283,3631,86,2,44,1,0,1,0,0,0,66,2048,20,52,41041,64,128,6,2,5,62070,53,380363160,0,32,2,64240,1,0,0,0,0,0,2,8,2.80E-05,replay,Replay
27403.34347,3633,86,2,44,1,0,1,0,0,0,67,2048,20,52,63631,64,128,6,2,4,51946,53,1833074073,0,32,2,64240,1,0,0,0,0,0,2,8,0.00064,replay,Replay
27403.37247,3635,233,3,44,0,1,0,1,0,0,584,2048,20,199,752,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,179,93,171,2,8,0.028994,replay,Replay
27403.39041,3637,86,2,44,1,0,1,0,0,0,68,2048,20,52,41043,64,128,6,2,5,50340,53,2529455716,0,32,2,64240,1,0,0,0,0,0,2,8,0.017941,replay,Replay
27403.41471,3639,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.024302,replay,Replay
27403.42143,3641,86,2,44,1,0,1,0,0,0,69,2048,20,52,41044,64,128,6,2,5,52951,53,3023340588,0,32,2,64240,1,0,0,0,0,0,2,8,0.006718,replay,Replay
27403.46795,3647,86,2,44,1,0,1,0,0,0,71,2048,20,52,41045,64,128,6,2,5,50095,53,1299430860,0,32,2,64240,1,0,0,0,0,0,2,8,0.046525,replay,Replay
27403.47708,3651,231,3,44,0,1,0,1,0,0,585,2048,20,197,753,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177,96,169,2,8,0.009126,replay,Replay
27403.51714,3661,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.040065,replay,Replay
27403.54641,3663,86,2,44,1,0,1,0,0,0,77,2048,20,52,63632,64,128,6,2,4,54383,53,1047447672,0,32,2,64240,1,0,0,0,0,0,2,8,0.029265,replay,Replay
27403.56115,3665,86,2,44,1,0,1,0,0,0,78,2048,20,52,41046,64,128,6,2,5,55960,53,990244757,0,32,2,64240,1,0,0,0,0,0,2,8,0.014738,replay,Replay
27403.56133,3667,86,2,44,1,0,1,0,0,0,79,2048,20,52,41047,64,128,6,2,5,55783,53,3951984775,0,32,2,64240,1,0,0,0,0,0,2,8,0.000186,replay,Replay
27403.57625,3669,232,3,44,0,1,0,1,0,0,586,2048,20,198,754,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178,95,170,2,8,0.014916,replay,Replay
27403.60673,3671,86,2,44,1,0,1,0,0,0,80,2048,20,52,41048,64,128,6,2,5,59769,53,1148719288,0,32,2,64240,1,0,0,0,0,0,2,8,0.03048,replay,Replay
27403.61951,3673,26,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.012784,replay,Replay
27403.62689,3675,75,3,44,0,1,0,1,0,0,587,2048,20,41,755,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21,127,13,2,8,0.007377,replay,Replay
27403.67793,3677,233,3,44,0,1,0,1,0,0,588,2048,20,199,756,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,179,102,171,2,8,0.051042,replay,Replay
27405.4748,3679,26,0,314,0,1,0,1,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.796867,replay,Replay
27405.47696,3680,26,0,314,1,0,1,0,0,0,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002164,replay,Replay
27405.48034,3681,26,0,314,0,1,0,1,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003375,replay,Replay
27405.48248,3682,26,0,314,1,0,1,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002139,replay,Replay
27405.48584,3683,26,0,314,0,1,0,1,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003366,replay,Replay
27405.48864,3684,26,0,314,1,0,1,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002798,replay,Replay
27405.49186,3685,26,0,314,0,1,0,1,0,0,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003225,replay,Replay
27405.49403,3686,26,0,314,1,0,1,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002169,replay,Replay
27405.49733,3687,26,0,314,0,1,0,1,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003297,replay,Replay
27405.4996,3688,26,0,314,1,0,1,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002267,replay,Replay
27405.50296,3689,26,0,314,0,1,0,1,0,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003358,replay,Replay
27405.5054,3690,26,0,314,1,0,1,0,0,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002449,replay,Replay
27405.51238,3691,26,0,314,0,1,0,1,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.006976,replay,Replay
27405.51303,3692,26,0,314,1,0,1,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000652,replay,Replay
27405.51579,3693,26,0,314,0,1,0,1,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002758,replay,Replay
27405.5293,3694,26,0,314,1,0,1,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.013506,replay,Replay
27405.52985,3695,26,0,314,0,1,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000556,replay,Replay
27405.53045,3696,26,0,314,1,0,1,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000599,replay,Replay
27405.5313,3697,26,0,314,0,1,0,1,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000847,replay,Replay
27405.53194,3698,26,0,314,1,0,1,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000637,replay,Replay
27405.53281,3699,26,0,314,0,1,0,1,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000874,replay,Replay
27405.5345,3700,26,0,314,1,0,1,0,0,0,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.001695,replay,Replay
27405.53786,3701,26,0,314,0,1,0,1,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003351,replay,Replay
27405.54002,3702,26,0,314,1,0,1,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002162,replay,Replay
27405.54348,3703,26,0,314,0,1,0,1,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003461,replay,Replay
27405.54563,3704,26,0,314,1,0,1,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002151,replay,Replay
27405.54898,3705,26,0,314,0,1,0,1,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003353,replay,Replay
27405.55122,3706,26,0,314,1,0,1,0,0,0,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002239,replay,Replay
27405.55449,3707,26,0,314,0,1,0,1,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003271,replay,Replay
27405.55663,3708,26,0,314,1,0,1,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002136,replay,Replay
27405.5599,3709,26,0,314,0,1,0,1,0,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003269,replay,Replay
27405.56212,3710,26,0,314,1,0,1,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002222,replay,Replay
27405.56548,3711,26,0,314,0,1,0,1,0,0,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003356,replay,Replay
27405.56755,3712,26,0,314,1,0,1,0,0,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002079,replay,Replay
27405.57291,3713,26,0,314,0,1,0,1,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.005353,replay,Replay
27405.57417,3714,26,0,314,1,0,1,0,0,0,1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00126,replay,Replay
27405.57748,3715,26,0,314,0,1,0,1,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003311,replay,Replay
27405.57966,3716,26,0,314,1,0,1,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002182,replay,Replay
27405.58298,3717,26,0,314,0,1,0,1,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003322,replay,Replay
27405.5852,3718,26,0,314,1,0,1,0,0,0,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002214,replay,Replay
27405.58848,3719,26,0,314,0,1,0,1,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003286,replay,Replay
27405.59064,3720,26,0,314,1,0,1,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002156,replay,Replay
27405.59578,3721,26,0,314,0,1,0,1,0,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.005139,replay,Replay
27405.59705,3722,26,0,314,1,0,1,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.001269,replay,Replay
27405.60064,3723,26,0,314,0,1,0,1,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00359,replay,Replay
27405.60257,3725,26,0,314,1,0,1,0,0,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.001937,replay,Replay
27405.60808,3726,26,0,314,1,0,1,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.005509,replay,Replay
27405.61327,3727,26,0,314,0,1,0,1,0,0,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00519,replay,Replay
27405.61387,3728,26,0,314,1,0,1,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000602,replay,Replay
27405.61744,3730,26,0,314,0,1,0,1,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003564,replay,Replay
27405.63237,3731,26,0,314,1,0,1,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.014931,replay,Replay
27405.63298,3732,26,0,314,0,1,0,1,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000612,replay,Replay
27405.6336,3733,26,0,314,1,0,1,0,0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000621,replay,Replay
27405.6342,3734,26,0,314,0,1,0,1,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000599,replay,Replay
27405.63481,3735,26,0,314,1,0,1,0,0,0,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000606,replay,Replay
27405.63563,3736,26,0,314,0,1,0,1,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.000827,replay,Replay
27405.63691,3737,26,0,314,1,0,1,0,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.001272,replay,Replay
27405.64032,3738,26,0,314,0,1,0,1,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003412,replay,Replay
27405.64246,3739,26,0,314,1,0,1,0,0,0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002138,replay,Replay
27405.64586,3740,26,0,314,0,1,0,1,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.003405,replay,Replay
27405.64806,3741,26,0,314,1,0,1,0,0,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002202,replay,Replay
27405.86559,3746,26,0,314,0,1,0,1,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.217531,replay,Replay
27406.37969,3747,26,0,314,0,1,0,1,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.514096,replay,Replay
27406.38196,3748,26,0,314,1,0,1,0,0,0,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.002267,replay,Replay
