timestamp_p,height,x_speed,y_speed,z_speed,pitch,roll,yaw,temperature,distance,barometer,flight_time,battery,mp_distance_x,mp_distance_y,mp_distance_z,class,class_raw
27674.61548,60,2,0,0,-2,-1,0,67,81,14438,27,77,-43,25,79,replay,Replay
27675.14112,60,2,0,0,-1,-1,0,67,81,14438,28,77,-43,-9,81,replay,Replay
27675.68571,60,1,-1,0,-1,-1,0,67,81,14432,29,77,-33,2,81,replay,Replay
27676.20432,60,0,0,0,0,0,0,67,81,14441,29,77,-28,4,80,replay,Replay
27676.72003,60,2,0,0,-2,-1,0,67,81,14444,30,77,-24,1,81,replay,Replay
27677.24308,60,1,0,0,-1,0,0,67,80,14440,30,77,-12,-1,83,replay,Replay
27677.76568,60,1,0,0,0,0,0,67,80,14446,31,77,-6,-3,82,replay,Replay
27678.29128,60,0,0,0,0,0,0,67,78,14444,31,77,-2,-7,81,replay,Replay
27678.81341,60,0,0,0,-1,0,0,67,79,14444,32,77,-3,-8,81,replay,Replay
27679.32205,60,0,0,0,-1,0,0,67,80,14443,32,77,-4,-12,81,replay,Replay
27679.85064,60,4,0,0,-4,0,0,67,82,14444,33,77,-1,-17,82,replay,Replay
27680.39261,70,2,0,0,-1,0,0,67,83,14450,33,77,14,-20,83,replay,Replay
27680.89926,70,2,0,0,-1,0,0,67,83,14449,34,77,26,-25,83,replay,Replay
27681.41987,60,2,0,0,-2,-1,0,67,82,14443,34,77,30,-28,83,replay,Replay
27681.94349,60,2,0,0,-2,0,0,67,83,14444,35,77,-8,-46,88,replay,Replay
27682.47008,70,2,0,0,-1,-1,0,66,83,14443,35,77,-46,-1,82,replay,Replay
27682.99568,70,1,0,0,3,0,0,66,82,14447,36,77,-34,0,85,replay,Replay
27683.51866,60,1,0,0,-7,-1,0,67,82,14452,36,77,-28,-5,85,replay,Replay
27684.04992,60,2,0,0,-1,0,0,68,80,14447,37,77,-24,-11,83,replay,Replay
27684.56867,60,1,0,0,0,0,0,68,79,14447,37,77,-11,-13,82,replay,Replay
27685.11526,60,1,-1,0,0,0,0,67,78,14447,38,77,-3,-10,80,replay,Replay
27685.6331,60,0,0,0,-1,0,0,67,77,14441,38,77,-1,-7,80,replay,Replay
27686.18662,60,0,0,0,-1,0,1,66,79,14450,39,77,-1,-5,81,replay,Replay
27686.71322,60,0,0,0,-1,0,31,66,79,14451,40,77,-3,-5,81,replay,Replay
27687.22485,60,0,0,0,0,-1,69,66,79,14452,40,77,-5,-6,82,replay,Replay
27687.76739,60,0,0,0,0,0,100,66,79,14444,41,77,-2,-15,81,replay,Replay
27688.29384,60,0,0,0,1,0,129,67,78,14452,41,77,-7,-21,79,replay,Replay
27688.81994,60,0,0,0,0,0,159,67,78,14453,42,77,-6,-22,79,replay,Replay
27689.34447,60,0,0,0,0,0,174,67,79,14453,42,77,-7,-23,81,replay,Replay
27689.87497,60,0,0,0,0,0,176,67,80,14455,42,77,-7,-23,81,replay,Replay
27690.39505,60,0,0,0,0,0,176,67,80,14455,42,77,-7,-23,81,replay,Replay
27690.91716,60,0,0,0,0,0,176,67,80,14455,42,77,-7,-23,81,replay,Replay
27691.44226,60,0,0,0,0,0,178,67,79,14447,44,76,-6,-12,81,replay,Replay
27691.96836,60,0,0,0,0,0,178,67,78,14462,45,76,-5,-9,81,replay,Replay
27692.5114,60,0,0,0,0,0,178,67,78,14447,45,76,-6,-8,81,replay,Replay
27693.05465,60,0,0,0,0,0,178,67,78,14463,46,76,-2,-6,80,replay,Replay
27693.58724,60,0,0,0,0,0,-170,67,78,14452,46,76,-3,-7,80,replay,Replay
27694.11486,60,0,0,0,0,0,-140,67,77,14454,47,76,-3,-5,80,replay,Replay
27694.6249,60,0,0,0,0,0,-105,66,77,14459,47,76,-4,-6,79,replay,Replay
27695.15149,60,0,0,0,0,0,-76,66,77,14457,48,76,-5,-3,80,replay,Replay
27695.67061,60,0,0,0,0,0,-47,66,79,14459,48,76,-7,0,81,replay,Replay
27696.19122,60,0,0,0,0,0,-18,67,79,14462,49,76,-2,-1,82,replay,Replay
27696.74477,60,0,0,0,0,0,-4,67,78,14456,50,76,-4,0,81,replay,Replay
27697.26438,60,0,0,0,0,0,-3,67,78,14455,50,76,-1,0,81,replay,Replay
27697.79002,60,0,0,0,0,0,-3,67,78,14452,51,76,0,-3,80,replay,Replay
27698.32432,60,0,0,0,-9,0,-3,68,79,14454,51,76,0,-4,80,replay,Replay
27698.84493,60,3,0,0,0,0,-3,68,78,14457,52,75,23,-18,74,replay,Replay
27699.38249,60,2,0,0,-1,0,-3,67,78,14454,52,75,40,-15,74,replay,Replay
27699.90365,60,2,0,0,-1,0,-3,67,78,14454,53,75,44,-19,79,replay,Replay
27700.42702,60,2,0,0,0,0,-3,67,78,14452,53,75,51,-31,70,replay,Replay
27700.95112,60,0,-1,0,1,2,-3,67,77,14461,54,75,51,-31,70,replay,Replay
27701.48569,60,-1,0,0,8,-3,-3,67,79,14456,54,75,51,-31,70,replay,Replay
27702.00504,60,-4,-1,0,1,-1,-3,67,79,14458,55,75,51,-31,70,replay,Replay
27702.52465,60,-4,-1,0,0,0,-3,67,80,14461,55,75,51,-31,70,replay,Replay
27703.05134,60,-2,0,0,-1,0,-3,67,81,14463,56,75,24,7,83,replay,Replay
27703.57621,60,-1,0,0,0,0,-3,67,81,14453,56,74,7,9,83,replay,Replay
27704.09981,60,0,0,0,-1,0,-3,67,80,14463,57,74,3,13,81,replay,Replay
27704.62193,60,0,0,0,0,0,-3,67,79,14462,57,74,3,4,82,replay,Replay
27705.14204,60,0,0,0,0,0,-3,67,79,14455,58,74,3,2,81,replay,Replay
27705.66464,60,2,0,0,-8,0,-3,68,80,14457,58,74,3,2,81,replay,Replay
